TEA,SLN,econ_cpr,econ_fincap,econ_medinc,econ_paydaycap,econ_pctlwjobs,econ_pctmwjobs,econ_totjobs,econ_pr,econ_pyr,econ_ur,econ_cpr_sd,econ_fincap_sd,econ_medinc_sd,econ_paydaycap_sd,econ_pctlwjobs_sd,econ_pctmwjobs_sd,econ_totjobs_sd,econ_pr_sd,econ_pyr_sd,econ_ur_sd
265,265,0.383233424185427,1.99896953872891,19448.8266566,1.49922715404668,0.138357561846468,0.292484910311995,23526,0.28861843650563,0.214622182917165,0.0820267327019041,1,2,0,2,4,0,2,0,3,0
271,271,0.281335083750301,1.73735609361076,31593.455849,3.86079131913502,0.211713268937468,0.299847483477377,49175,0.180134053342264,0.308389422949627,0.0480516383883032,3,2,2,0,3,0,3,3,2,3
272,272,0.302875082878889,0.884728102693142,24551.8402479,2.43300228240614,0.343028800305169,0.456990272744612,10486,0.215249677401035,0.372257922407767,0.0746133412411224,2,1,1,0,0,4,1,2,1,1
289,289,0.365795462442243,1.55356576450692,26009.6833784,1.72618418278547,0.238457295934447,0.39513079104948,25384,0.245759317289024,0.578136035221004,0.0862589900669744,1,2,2,2,2,3,2,2,0,0
112,112,0.37409427717492,3.10669715768587,27455.2678356,1.7475171511983,0.178112538768276,0.350809826219662,40626,0.243833989528205,0.578976203162664,0.0784472910020218,1,3,2,2,4,2,2,2,0,0
130,130,0.296645794633635,0.674279345209393,24417.746198,1.57331847215525,0.286708097579074,0.478527038308135,10781,0.20686157965776,0.310204907636363,0.0670505039081817,2,1,1,2,1,4,1,2,2,2
136,136,0.333991479926318,0.929550209314738,23277.6700187,1.46072175749459,0.269941986947063,0.47688542422045,11032,0.23192640011277,0.220052153117337,0.0587371791203152,2,1,1,2,1,4,1,2,3,2
149,149,0.307753955072134,0.752937648212564,24133.4768388,1.25489608035427,0.271921784295753,0.493329259598737,9819,0.218478478676111,0.29323331011374,0.0679898976370429,2,1,1,2,1,4,1,2,2,1
152,152,0.331792515927101,1.57339422081795,23602.725998,2.47247663271392,0.312503993355057,0.449492045236726,15651,0.236611174325007,0.479519250507422,0.0863336958012964,2,2,1,0,0,4,2,2,0,0
157,157,0.339299015711054,1.87487642077949,28925.2979506,2.24985170493539,0.196269144225884,0.31933657545184,55108,0.216370973289625,0.514165487653671,0.0714389942890515,2,2,2,0,3,1,3,2,0,1
158,158,0.326977335729262,1.73737905926268,26566.30885,2.31650541235024,0.264498672656729,0.455227690422708,19588,0.214708552835196,0.338038867579287,0.066540668383488,2,2,2,0,2,4,2,2,1,2
275,275,0.35086259008063,0.971814781912932,26397.1605749,1.66596819756503,0.219050077439339,0.423902942694889,19370,0.222238140907613,0.284756523640299,0.0614903604238514,2,1,2,2,3,4,2,2,2,2
190,190,0.331543764860836,1.50790484826381,25094.7809062,1.63356358561912,0.238038072371806,0.428056937060538,17493,0.21843760857819,0.233402250203603,0.0592590354128895,2,2,1,2,2,4,2,2,2,2
192,192,0.339316089868914,1.42748547056252,26321.3714662,2.33588531546594,0.255094210930173,0.409412567141274,23458,0.224711931811423,0.514055542475426,0.0866179947469006,2,2,2,0,2,3,2,2,0,0
197,197,0.342146331529892,1.77544395827017,27509.221708,2.51521227421608,0.23488105474348,0.412761536256807,27912,0.216295349417355,0.501726875899375,0.0790847339924568,2,2,2,0,2,3,2,2,0,0
204,204,0.358336632306538,1.85327273547414,27251.8089218,1.99583217666446,0.223660074041957,0.424373811826702,29983,0.223207480828901,0.341858033528286,0.0669329022322471,2,2,2,1,2,4,2,2,1,2
239,239,0.303332947310103,1.00302165829854,24595.4590704,1.56025591290883,0.286728604879523,0.490595966462724,13239,0.20913348157065,0.3080849004696,0.0650558773245281,2,1,1,2,1,4,1,2,2,2
211,211,0.374502182233236,1.80116740983414,25217.4604995,1.62105066885073,0.192225270015429,0.376735813475056,23332,0.239358076527745,0.233263858330369,0.0639996094739603,1,2,1,2,4,2,2,2,2,2
229,229,0.320105033862547,1.24713372351252,26152.4964723,2.60764324007163,0.298950227189638,0.467645061889591,19147,0.216116801206603,0.42335967487434,0.0758282850426643,2,2,2,0,0,4,2,2,0,1
171,171,0.115228844733249,2.18155060091304,60616.9325606,0.363591766818841,0.29718137254902,0.387561274509804,13056,0.0905891532286502,0.182721598268739,0.0223481415173085,4,2,4,4,0,2,1,4,3,4
125,125,0.258174243393216,1.04368644899671,31207.1940768,1.49098064142387,0.306892702664992,0.409236779684666,14334,0.165952474472093,0.348578650112028,0.0463756126291778,3,1,2,2,0,3,2,3,1,3
147,147,0.249697457069974,0.702121030400791,28313.823067,0.982969442561108,0.319840249103094,0.403235632572937,14773,0.170466100116488,0.345673357943513,0.0498653214287601,3,1,2,3,0,3,2,3,1,2
153,153,0.13438445382484,1.82649146209743,51312.2605158,1.59818002933525,0.294967823610085,0.394661884164996,9479,0.0919758354312255,0.164405008773841,0.0230835833689723,4,2,4,2,0,3,1,4,4,4
159,159,0.259071838781194,2.63370712978645,54315.5729233,2.07924247088404,0.298809027295055,0.31864312526067,43158,0.166695846891347,0.228122932074927,0.0395094308689681,3,2,4,1,0,1,2,3,3,3
166,166,0.261911563730064,0.946730099835203,28600.0577113,1.35247157119315,0.296568074057349,0.388913976066832,8858,0.187631092618886,0.27226416500908,0.0542070042097459,3,1,2,2,0,2,1,3,2,2
198,198,0.273911954183442,1.20059769416342,36671.2225334,1.88665351939966,0.27917224453369,0.377733154841589,17928,0.160942631815473,0.285931170727271,0.038817643552299,3,1,2,1,1,2,2,3,2,4
199,199,0.251512630047597,1.61683495223756,39817.7574638,1.97613160829035,0.294103883949462,0.411207299953205,8548,0.155495596909467,0.259932842442684,0.0432364751804253,3,2,3,1,0,3,1,4,2,3
250,250,0.47559873884218,1.31676348544783,18094.7763796,1.09730290453986,0.35192023633678,0.408788774002954,2708,0.356143412395434,0.341979884381755,0.0904001770626559,0,2,0,3,0,3,1,0,1,0
172,172,0.330189447722969,1.38304205357643,24284.5701781,1.88596643669513,0.353731970312281,0.42304999299818,7141,0.236042247798405,0.415744149083575,0.0851543925188821,2,2,1,1,0,4,1,2,0,0
183,183,0.432131732307482,1.07121368944009,21137.3355771,0.428485475776035,0.286567939724604,0.395687191478306,3849,0.305890212315032,0.344398378598191,0.0887165036017407,0,1,1,4,1,3,1,0,1,0
210,210,0.289656823921579,0.966790221217835,23606.2635136,0.580074132730701,0.164,0.427533333333333,15000,0.213989343964029,0.229743625741628,0.0646840719527197,2,1,1,4,4,4,2,2,3,2
213,213,0.434844655785048,0.866354104702847,23405.9162362,0.433177052351424,0.290913718503436,0.434461695087809,3929,0.288366478999285,0.288023420911574,0.0734193732845859,0,1,1,4,1,4,1,0,2,1
215,215,0.399842862166817,0.791783948531792,20086.4987323,0.263927982843931,0.255729794933655,0.411640530759952,3316,0.29164253728837,0.218542025333683,0.0925908523955938,1,1,1,4,2,3,1,0,3,0
277,277,0.303603366774357,1.08815243713873,24443.802135,0.652891462283237,0.161529126213592,0.386043689320388,16480,0.231938998490043,0.358356441315955,0.0781460034495939,2,1,1,4,4,2,2,2,1,0
219,219,0.444084400946013,1.37357331142198,23309.5786492,0.588674276323705,0.321780372126961,0.38270704122583,5482,0.298743690272409,0.355953287234169,0.07774290889402,0,2,1,4,0,2,1,0,1,0
225,225,0.356799766199783,1.73500956094478,24676.8971184,1.21450669266135,0.254517611026034,0.409290454313425,9795,0.253483961239717,0.462075890503681,0.0844309482297361,2,2,1,2,2,3,1,1,0,0
274,274,0.309578676343845,0.645631740070138,22739.2572041,0,0.177463460631777,0.416124469589816,10605,0.221773777116557,0.161311451453167,0.0567596235127674,2,1,1,4,4,3,1,2,4,2
236,236,0.37710273184775,0.412376087451572,22213.2130343,0,0.188250272826482,0.510913059294289,5498,0.256757790422324,0.137210612385193,0.0566280085164714,1,1,1,4,4,4,1,1,4,2
164,164,0.354165197731792,1.71701713242669,23662.4525132,1.57393237139114,0.241997439180538,0.416742881531614,16401,0.23397854020789,0.169500529170353,0.0563348716907261,2,2,1,2,2,3,2,2,4,2
287,287,0.33698702673548,1.08781558717925,23288.5662068,0.932413360439359,0.267578125,0.46337890625,10240,0.231648040053404,0.164837493239048,0.0533033941024924,2,1,1,3,1,4,1,2,4,2
114,114,0.446626043259631,1.24561541958754,18578.7988927,0.711780239764309,0.350850546780073,0.368772782503038,3292,0.337313849302901,0.455004499714758,0.0967674407108239,0,2,0,4,0,2,1,0,0,0
115,115,0.385324826034604,1.28296471091841,20676.133319,2.70848105638332,0.296759791652574,0.432320909152405,14783,0.28491828640846,0.539356138691836,0.102709035182427,1,2,1,0,0,4,2,1,0,0
118,118,0.489452337328206,2.32334752239795,17647.4466811,1.16167376119898,0.281084449984419,0.331255842941726,3209,0.371757028248629,0.344313745255266,0.0932374062720452,0,2,0,2,1,1,1,0,1,0
6,6,0.200692194076343,8.20968282155942,67783.1370329,1.24929955980252,0.226711996114619,0.294042415412012,61770,0.128397048337238,0.168465677508534,0.0360402886858437,4,4,4,2,2,0,4,4,4,4
15,15,0.29235172764419,0,23072.7293417,0,0.234430082256169,0.389541715628672,1702,0.218613713219063,0.241385006585336,0.0466864179724886,2,0,1,4,2,2,1,2,2,3
380,380,0.374730437066626,0,19929.1975263,0,0.284155985819471,0.372511589855468,3667,0.244192820253961,0.343817573384646,0.0887316622815378,1,0,1,4,1,2,1,2,1,0
23,23,0.440509660708031,2.06485443318932,21367.5087845,1.54864082489199,0.252992347439335,0.379423114657597,15289,0.312607863113661,0.344978750413956,0.0905027244764205,0,2,1,2,2,2,2,0,1,0
32,32,0.454497666530641,3.69000932867206,23736.7905327,2.76750699650405,0.139277706054223,0.25981857715567,58868,0.318218673499253,0.279274900000872,0.0781725891592658,0,4,1,0,4,0,4,0,2,0
24,24,0.300384008499042,7.4686426594175,55524.841076,1.96543227879408,0.133957573275164,0.234494813347177,209962,0.140773851312313,0.102360395504028,0.0289025935240941,2,4,4,1,4,0,4,4,4,4
22,22,0.320393064111927,1.60018309752363,43780.6703768,1.60018309752363,0.304817070151988,0.342937769196495,20199,0.196193526692445,0.29976097475448,0.0431214381441529,2,2,4,2,0,1,2,2,2,3
12,12,0.417885929324118,2.14828409555948,21918.1108108,0.920693183811205,0.14069774472459,0.346695688977568,33078,0.289173287506448,0.290745209528739,0.0778272516754823,0,2,1,3,4,2,2,0,2,0
2,2,0.35462660985381,1.56321344853091,27066.0259032,1.56321344853091,0.232636105240143,0.407732672545733,27442,0.233082469805816,0.572853202907338,0.0811976954639756,2,2,2,2,2,3,2,2,0,0
18,18,0.34629820623665,1.25782944650072,26850.9175479,2.01252711440116,0.254633110708125,0.460214958644787,22609,0.220936256719642,0.338316510713522,0.0655178568748947,2,2,2,1,2,4,2,2,1,2
1,1,0.279459165555426,1.47263645077478,33103.0511839,1.61990009585226,0.270171890798787,0.392821031344793,9890,0.186357978908551,0.230822739996449,0.0486899015494475,3,2,2,2,1,2,1,3,2,3
8,8,0.320449358475978,1.36449584699133,24660.3300235,1.16956786884971,0.210082025961615,0.41602293541451,12557,0.237030568202883,0.38249625980029,0.0751660651866546,2,2,1,2,3,3,1,2,0,1
5,5,0.299568304226419,0.665616258202798,22817.9662881,0,0.168103048836994,0.422852376980817,10791,0.217926546632991,0.169118507033551,0.059504444968639,2,1,1,4,4,4,1,2,4,2
60,60,0.404820384135238,1.46786738647615,19780.4399113,1.76144086377138,0.345575959933222,0.370246707475422,5391,0.31021718748638,0.471610487309967,0.100719786418802,1,2,1,2,0,2,1,0,0,0
44,44,0.229505004930005,0.897482690150909,57782.0933106,1.25647576621127,0.283201669399314,0.367491429423163,13418,0.135196299274902,0.297701076146424,0.0412704335355858,4,1,4,2,1,2,1,4,2,3
54,54,0.0638371932405449,2.41546453377211,52471.9233769,0.878350739553494,0.225499104338119,0.336067914535684,38519,0.0519558202908119,0.164234396323984,0.0317814433827418,4,2,4,3,2,1,2,4,4,4
56,56,0.17279023642221,5.62820701135627,62866.0578351,1.50085520302834,0.185671108668773,0.279010395200806,87348,0.0940614240282815,0.163779512942455,0.0322918689274199,4,4,4,2,4,0,4,4,4,4
83,83,0.27242875427329,3.17667136712765,49735.3067266,2.07705435542962,0.250199112527022,0.302927360499325,61523,0.168332592015058,0.209960927665486,0.0433129857016555,3,3,4,1,2,0,4,3,3,3
46,46,0.34882462295369,0.613607391101608,22352.5001892,1.22721478220322,0.271936459909228,0.410930408472012,5288,0.26451025820761,0.307165753444228,0.0503823715546973,2,1,1,2,1,3,1,1,2,2
45,45,0.441724221652098,0.734819848021692,20461.2945265,1.95951959472451,0.267796610169492,0.36997578692494,4130,0.304061697537755,0.0558114616909637,0.0395323967591086,0,1,1,1,1,2,1,0,4,3
52,52,0.375485471347319,0.678540320514693,22933.252049,1.35708064102939,0.237978200470186,0.412160718102159,9358,0.263631065617722,0.246096549632915,0.042848787641296,1,1,1,2,2,3,1,1,2,3
352,352,0.344188260562088,0.189102965590992,22527.422507,0.756411862363967,0.24694589877836,0.426410703897615,6876,0.265569535895163,0.218708707310266,0.0513027357664455,2,0,1,3,2,4,1,1,3,2
42,42,0.445837283048486,1.17832946711006,23257.3174372,0.589164733555031,0.319223016309328,0.384277075316108,5457,0.299686394712353,0.350399323417772,0.0770972683929923,0,1,1,4,0,2,1,0,1,1
58,58,0.312092386274252,7.12878848627984,54241.5754728,1.7340296317978,0.137902256311413,0.237210757965644,201302,0.145101667440542,0.115615572278177,0.0294737313391734,2,4,4,2,4,0,4,4,4,4
49,49,0.33170500256984,1.78991428261672,27086.5796202,2.74453523334563,0.265001997602877,0.426328405912905,25030,0.215875422103472,0.407208056562135,0.0733826774042146,2,2,2,0,2,4,2,2,0,1
163,163,0.439632839196699,1.51983544065641,21139.1714936,1.51983544065641,0.232986884434546,0.394209354120267,8082,0.303690737261153,0.56731819453947,0.10493788087393,0,2,1,2,2,3,1,0,0,0
178,178,0.443962370341291,1.53248630938739,18912.9439365,1.14936473204055,0.334963954685891,0.370236869207003,3884,0.337351532711979,0.387476923400873,0.0958576656875191,0,2,0,2,0,2,1,0,0,0
185,185,0.492815056785243,2.12480901748528,18435.534151,1.06240450874264,0.275332650972364,0.355168884339816,2931,0.363817931339059,0.424656018033961,0.0965500698040207,0,2,0,3,1,2,1,0,0,0
