TEA,SLN,dem_totp,dem_popwh,dem_popbl,dem_popas,dem_pophi,dem_popm,dem_popf,dem_thh,dem_popse,dem_popch,dem_totp_sd,dem_popwh_sd,dem_popbl_sd,dem_popas_sd,dem_pophi_sd,dem_popm_sd,dem_popf_sd,dem_thh_sd,dem_popse_sd,dem_popch_sd,dem_perwh_sd,dem_perbl_sd,dem_peras_sd,dem_perhi_sd,dem_perm_sd,dem_perf_sd,dem_perse_sd,dem_perch_sd
234,234,41628,29493,10115,58,29182,20171,21468,11257,3228,14512,1,1,2,1,2,1,1,0,0,2,2,2,1,4,1,3,0,4
161,161,49300,36149,10717,71,35377,24050,25259,13353,3772,17098,2,2,2,1,3,2,2,1,1,3,2,2,1,4,2,3,0,4
207,207,63990,46890,13714,285,45019,31474,32521,18108,4918,21586,3,3,2,1,4,2,3,2,2,4,2,2,1,4,2,2,0,4
222,222,52552,36221,12959,291,32280,26665,25891,16107,4610,16430,2,2,2,1,2,2,2,2,1,2,2,2,1,3,3,1,1,3
303,303,56282,43594,9635,114,42082,27978,28311,15365,4421,18793,2,2,2,1,4,2,2,1,1,3,3,2,1,4,2,2,1,4
119,119,55387,43518,2635,2608,22410,27727,27638,20680,7409,12077,2,2,0,4,2,2,2,2,4,1,3,0,4,1,2,2,4,0
279,279,59105,38167,10564,4690,16446,28050,31054,27132,6386,11458,2,2,2,4,1,2,2,3,2,1,2,2,4,0,0,4,2,0
304,304,54358,34153,5841,4361,19504,26585,27763,24099,5964,10505,2,2,1,4,1,2,2,3,2,1,2,1,4,1,2,2,2,0
154,154,74081,50225,10514,1597,42072,36011,38054,24509,7493,21828,4,3,2,2,4,3,4,3,4,4,2,1,2,2,1,3,2,2
126,126,9955,7815,1393,61,4541,4821,5136,2817,865,3212,0,0,0,1,0,0,0,0,0,0,3,1,1,2,1,3,1,4
208,208,6529,5095,925,28,2941,3313,3218,1794,598,2007,0,0,0,1,0,0,0,0,0,0,3,1,1,2,3,1,2,3
244,244,14635,11494,1779,48,8401,7164,7474,4035,1062,5070,0,0,0,1,0,0,0,0,0,0,3,1,1,3,2,2,0,4
173,173,51171,37678,8548,726,31264,26478,24665,17840,5010,13614,2,2,1,2,2,2,2,2,2,2,3,2,2,3,4,0,2,2
194,194,49242,40846,4084,1967,12005,24993,24247,21749,5947,9729,2,2,0,3,0,2,2,2,2,0,4,1,4,0,3,1,3,0
107,107,55893,49248,2336,1004,30486,29887,26004,18582,3837,15286,2,3,0,2,2,2,2,2,1,2,4,0,2,2,4,0,0,2
13,13,40750,22999,15500,191,20901,21116,19617,14069,4126,10721,1,1,3,1,1,1,1,1,1,1,1,3,1,2,4,0,2,2
16,16,65389,30995,30252,470,31221,31150,34232,20633,7904,19672,3,2,4,1,2,2,3,2,4,4,0,4,1,2,0,4,3,3
7,7,53605,48744,1299,890,21676,28096,25505,19039,5854,13671,2,3,0,2,2,2,2,2,2,2,4,0,2,1,4,0,2,2
21,21,50540,31988,5268,3001,14545,25166,25360,22335,6567,10429,2,2,1,4,1,2,2,2,3,1,2,1,4,0,2,2,4,0
28,28,81784,53459,15329,6379,19118,41128,40663,37526,9813,17421,4,4,3,4,1,4,4,4,4,3,2,2,4,0,2,2,3,0
14,14,74513,53782,16864,220,52093,35675,38832,20294,4937,26156,4,4,3,1,4,3,4,2,2,4,2,2,1,4,1,3,0,4
17,17,43042,31420,9003,132,30465,21158,21891,11308,2531,15180,1,2,2,1,2,1,1,0,0,2,2,2,1,4,2,2,0,4
25,25,59481,38777,15958,477,34036,29709,29773,19069,5066,18531,2,2,3,1,2,2,2,2,2,3,2,2,1,3,2,2,1,3
9,9,25178,7904,16361,36,7852,12484,12688,9090,2912,7082,0,0,3,1,0,0,0,0,0,0,0,4,1,0,2,2,3,2
206,206,55777,37808,12084,616,20694,27220,28556,22586,5707,13878,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1
263,263,31536,9153,20577,0,10201,14864,16667,11464,4086,8925,0,0,4,1,0,0,0,0,1,0,0,4,1,1,0,4,4,2
51,51,50416,20027,27704,1,21307,24105,26297,17044,6322,14775,2,0,4,1,2,2,2,2,2,2,0,4,1,2,0,3,3,2
273,273,67763,48331,15812,148,46824,32435,35320,18396,4206,23979,3,3,3,1,4,3,3,2,1,4,2,2,1,4,1,3,0,4
