TEA,SLN,comm_bbp,comm_bvp,comm_cctrcap,comm_incarpct,comm_juvcrimecap,comm_libcap,comm_ltbvp,comm_ltrvp,comm_ocb,comm_ocbp,comm_parkcap,comm_rcb,comm_rcbp,comm_rvp,comm_u18bbp,comm_evrate,comm_bbp_sd,comm_bvp_sd,comm_cctrcap_sd,comm_incarpct_sd,comm_juvcrimecap_sd,comm_libcap_sd,comm_ltbvp_sd,comm_ltrvp_sd,comm_ocb_sd,comm_ocbp_sd,comm_parkcap_sd,comm_rcb_sd,comm_rcbp_sd,comm_rvp_sd,comm_u18bbp_sd,comm_evrate_sd
1,1,0.743510603480441,0.241812369371,0.441790935232435,0.00558375727148167,240.933507653044,0.294527290154957,0.210848372929,0.0239253898986,3131.962218304,0.229942165558615,0.0810353563352366,5262.9201009256,0.475750446321761,0.0319848328458,0.72563297744524,163.830805148695,2,0,2,2,2,3,0,2,0,4,1,2,2,2,2,2
8,8,0.667747617292395,0.110730521267,0.389855956283236,0.00545701409579431,225.369652861174,0.194927978141618,0.10556490872,0.0183049272608,1917.3476301112,0.253247969564195,0.14678210563466,4542.648221248,0.51515218159651,0.0193657638974,0.676274234330198,273.191561365478,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,0
5,5,0.618115166010684,0.0807498453146,0.221872086067599,0.00571455004923107,178.05377813669,0.221872086067599,0.0711113837972,0.014710814343,1710.045641548,0.270793194329776,0.103787381850738,2774.8048861754,0.449276059411753,0.0160770124465,0.604937574794322,94.2956365787297,1,3,1,2,3,2,4,3,3,1,2,3,2,3,1,4
60,60,0.622262721599548,0.130128571564,0.587146954590461,0.0102718540719622,304.979563124774,0.146786738647615,0.118354264048,0.0354970692571,2952.9947681912,0.276184879822266,0.0787621493354582,5911.998958037,0.538733866939119,0.041386302074,0.696759270930006,169.758863245967,1,1,2,1,2,1,1,1,1,1,1,1,0,1,2,2
44,44,0.764878550018765,0.0725763488803,0.358993076060364,0.00188064629183159,157.67282431945,0.179496538030182,0.0696007268445,0.0118886553415,2977.258174063,0.265441046844745,0.0405683341095816,3620.5046546992,0.428428910889349,0.0159199844344,0.748814294737271,88.7610380559249,3,4,1,4,3,1,4,3,1,2,1,3,3,3,3,4
54,54,0.90161738616368,0.109548898501,0.878350739553494,0.001255162281444,79.9610818161611,0.219587684888374,0.0948580296914,0.00640251939272,2831.943816636,0.242054553647452,0.0272229529065129,2344.767444908,0.352842467747069,0.0103993548191,0.909321916742696,108.805697862189,4,2,3,4,4,2,2,4,1,3,0,4,4,4,4,3
56,56,0.853436598147301,0.126942625839,0.375213800757085,0.00180920799914627,117.048645121798,0.187606900378542,0.110428142643,0.00645013552339,2311.459101429,0.24397636233136,0.0554935510007936,5706.4676155742,0.390866227093628,0.00949527968158,0.836908875603307,158.527830819868,4,1,2,4,4,1,2,4,2,3,1,2,4,4,4,2
83,83,0.835242958574121,0.118461492498,0.244359335932896,0.00269986792623315,149.297330768075,0.244359335932896,0.08905496308,0.00757713688099,2875.302823452,0.245973215794458,0.167409850199398,11829.498331896,0.443415340791695,0.0101027580991,0.827397456738907,179.359752574746,4,2,1,3,3,2,3,4,1,3,2,0,3,4,4,2
46,46,0.666710070554567,0.114931734603,0.153401847775402,0.00583721347657698,214.531063691855,0.153401847775402,0.112439514096,0.0186410553242,3581.592073532,0.32826659478731,0.0367816358319457,3624.6099345714,0.525815121236004,0.0211472632222,0.6704705080394,160.074828153632,2,2,1,2,2,1,2,2,0,0,1,3,0,2,2,2
45,45,0.52665892833952,0.105461087848,0.734819848021692,0.0105752912522533,304.045669773234,0.244939949340564,0.102733874059,0.0232845097458,1481.61493011552,0.241282945400729,0.352079570426476,2652.7030294992,0.526417253998357,0.0240471292962,0.521756906272462,127.246303682423,0,2,2,1,2,2,2,2,4,3,4,3,0,2,0,3
52,52,0.590184393801174,0.0991787572569,0.339270160257346,0.00801337606798307,216.126838517284,0.339270160257346,0.0935274604968,0.0178665192767,2846.9773257838,0.285578157794984,0.324570927456903,3605.9709806032,0.518735175661126,0.0210828168296,0.579103932332531,144.613905809694,0,2,1,2,2,3,2,2,1,0,4,3,0,2,0,2
352,352,0.712549219235008,0.107227966825,0,0.00647083793964664,162.699496278995,0.189102965590992,0.106066755107,0.0184525838835,2888.92946639612,0.324674242228837,0.0574497618310115,2620.0000081031,0.508737023716009,0.0202263973729,0.727571766457337,145.987489436246,2,2,0,2,3,1,2,2,1,0,1,3,1,2,2,2
42,42,0.620325001365664,0.103864978163,0.785552978073374,0.00840759424168121,292.816994276935,0.196388244518344,0.102840317334,0.0107869436415,2255.60356755619,0.271907897950924,0.0939414606907276,5442.0647172541,0.558793254911346,0.0116944953252,0.635424672842817,229.97063433098,1,2,2,2,2,2,2,3,2,1,1,2,0,3,1,1
58,58,0.859188018472218,0.104599671706,0.481674897721611,0.0031388690081505,238.725774105119,0.192669959088644,0.093562216008,0.0137456572239,4240.914801765,0.254177664040206,0.038605208600537,14178.654501602,0.347409118249437,0.0198679237698,0.761742260175906,225.809192051891,4,2,2,3,2,2,2,3,0,2,1,0,4,2,3,1
49,49,0.76215075169166,0.10148049605,0.238655237682229,0.00379983967148877,200.631160117104,0.238655237682229,0.0934032574898,0.0241617259602,3117.516620583,0.223758874277193,0.0822362547274679,5622.42831978261,0.453764350885561,0.0258703759541,0.772342652282434,102.7410798222,3,2,1,3,3,2,2,2,0,4,1,2,2,2,3,3
163,163,0.640477868044408,0.151658763233,0.759917720328205,0.0157754357689107,561.132580771002,0.253305906776068,0.150008645066,0.11915779732,1562.0435416622,0.270023060341989,0.315432426553425,3902.58266234325,0.49411268177866,0.125638038505,0.694677928150921,221.64266842906,1,0,2,0,0,2,0,0,4,1,4,2,1,0,2,1
178,178,0.502815968580016,0.108335654596,0.957803943367121,0.0128971991171134,441.38750490715,0.191560788673424,0.101144461232,0.0447883117458,2477.49465067303,0.285825201934481,0.137093629356555,5110.2319536304,0.536964662451891,0.0517568206078,0.56446303459329,208.705479259696,0,2,3,0,0,2,2,0,2,0,2,2,0,0,0,1
